"_time","metric_name:st_generator_mw","Tag"
8/31/19 4:30,88.556,1STG-GA03124
8/31/19 4:25,88.556,1STG-GA03124
8/31/19 4:20,88.874,1STG-GA03124
8/31/19 4:15,88.874,1STG-GA03124
8/31/19 4:10,88.874,1STG-GA03124
8/31/19 4:05,88.748,1STG-GA03124
8/31/19 4:00,88.748,1STG-GA03124
8/31/19 3:55,88.984,1STG-GA03124
8/31/19 3:50,88.984,1STG-GA03124
8/31/19 3:45,88.658,1STG-GA03124
8/31/19 3:40,88.658,1STG-GA03124
8/31/19 3:35,88.658,1STG-GA03124
8/31/19 3:30,88.748,1STG-GA03124
8/31/19 3:25,88.748,1STG-GA03124
8/31/19 3:20,88.748,1STG-GA03124
8/31/19 3:15,89.015,1STG-GA03124
8/31/19 3:10,88.75,1STG-GA03124
8/31/19 3:05,88.75,1STG-GA03124
8/31/19 3:00,88.771,1STG-GA03124
8/31/19 2:55,88.771,1STG-GA03124
8/31/19 2:50,88.771,1STG-GA03124
8/31/19 2:45,88.771,1STG-GA03124
8/31/19 2:40,88.796,1STG-GA03124
8/31/19 2:35,88.788,1STG-GA03124
8/31/19 2:30,88.788,1STG-GA03124
8/31/19 2:25,88.788,1STG-GA03124
8/31/19 2:20,88.788,1STG-GA03124
8/31/19 2:15,88.788,1STG-GA03124
8/31/19 2:10,88.945,1STG-GA03124
8/31/19 2:05,88.854,1STG-GA03124
8/31/19 2:00,88.854,1STG-GA03124
8/31/19 1:55,88.854,1STG-GA03124
8/31/19 1:50,88.87,1STG-GA03124
8/31/19 1:45,88.87,1STG-GA03124
8/31/19 1:40,88.877,1STG-GA03124
8/31/19 1:35,88.872,1STG-GA03124
8/31/19 1:30,88.872,1STG-GA03124
8/31/19 1:25,88.835,1STG-GA03124
8/31/19 1:20,88.835,1STG-GA03124
8/31/19 1:15,88.835,1STG-GA03124
8/31/19 1:10,88.835,1STG-GA03124
8/31/19 1:05,88.912,1STG-GA03124
8/31/19 1:00,88.912,1STG-GA03124
8/31/19 0:55,88.976,1STG-GA03124
8/31/19 0:50,88.976,1STG-GA03124
8/31/19 0:45,88.976,1STG-GA03124
8/31/19 0:40,88.875,1STG-GA03124
8/31/19 0:35,89.023,1STG-GA03124
8/31/19 0:30,89.023,1STG-GA03124
8/31/19 0:25,89.023,1STG-GA03124
8/31/19 0:20,89.883,1STG-GA03124
8/31/19 0:15,89.883,1STG-GA03124
8/31/19 0:10,89.883,1STG-GA03124
8/31/19 0:05,95.78,1STG-GA03124
8/31/19 0:00,95.78,1STG-GA03124
8/30/19 23:55,95.78,1STG-GA03124
8/30/19 23:50,123.84,1STG-GA03124
8/30/19 23:45,123.84,1STG-GA03124
8/30/19 23:40,123.84,1STG-GA03124
8/30/19 23:35,123.84,1STG-GA03124
8/30/19 23:30,123.84,1STG-GA03124
8/30/19 23:25,124.07,1STG-GA03124
8/30/19 23:20,123.71,1STG-GA03124
8/30/19 23:15,123.71,1STG-GA03124
8/30/19 23:10,123.71,1STG-GA03124
8/30/19 23:05,123.71,1STG-GA03124
8/30/19 23:00,123.71,1STG-GA03124
8/30/19 22:55,123.8,1STG-GA03124
8/30/19 22:50,123.8,1STG-GA03124
8/30/19 22:45,123.44,1STG-GA03124
8/30/19 22:40,123.44,1STG-GA03124
8/30/19 22:35,123.44,1STG-GA03124
8/30/19 22:30,123.69,1STG-GA03124
8/30/19 22:25,123.48,1STG-GA03124
8/30/19 22:20,123.48,1STG-GA03124
8/30/19 22:15,123.48,1STG-GA03124
8/30/19 22:10,123.48,1STG-GA03124
8/30/19 22:05,123.48,1STG-GA03124
8/30/19 22:00,123.48,1STG-GA03124
8/30/19 21:55,123.55,1STG-GA03124
8/30/19 21:50,123.51,1STG-GA03124
8/30/19 21:45,123.51,1STG-GA03124
8/30/19 21:40,123.51,1STG-GA03124
8/30/19 21:35,123.7,1STG-GA03124
8/30/19 21:30,123.57,1STG-GA03124
8/30/19 21:25,123.57,1STG-GA03124
8/30/19 21:20,123.59,1STG-GA03124
8/30/19 21:15,123.59,1STG-GA03124
8/30/19 21:10,123.59,1STG-GA03124
8/30/19 21:05,123.59,1STG-GA03124
8/30/19 21:00,123.53,1STG-GA03124
8/30/19 20:55,123.53,1STG-GA03124
8/30/19 20:50,123.53,1STG-GA03124
8/30/19 20:45,123.69,1STG-GA03124
8/30/19 20:40,123.69,1STG-GA03124
8/30/19 20:35,123.28,1STG-GA03124
8/30/19 20:30,123.05,1STG-GA03124
8/30/19 20:25,123.05,1STG-GA03124
8/30/19 20:20,123.05,1STG-GA03124
8/30/19 20:15,123.05,1STG-GA03124
8/30/19 20:10,123.05,1STG-GA03124
8/30/19 20:05,123.17,1STG-GA03124
8/30/19 20:00,123.05,1STG-GA03124
8/30/19 19:55,123.05,1STG-GA03124
8/30/19 19:50,122.99,1STG-GA03124
8/30/19 19:45,122.79,1STG-GA03124
8/30/19 19:40,122.79,1STG-GA03124
8/30/19 19:35,122.66,1STG-GA03124
8/30/19 19:30,122.66,1STG-GA03124
8/30/19 19:25,122.66,1STG-GA03124
8/30/19 19:20,122.66,1STG-GA03124
8/30/19 19:15,122.71,1STG-GA03124
8/30/19 19:10,122.4,1STG-GA03124
8/30/19 19:05,122.4,1STG-GA03124
8/30/19 19:00,122.4,1STG-GA03124
8/30/19 18:55,122.4,1STG-GA03124
8/30/19 18:50,122.93,1STG-GA03124
8/30/19 18:45,122.93,1STG-GA03124
8/30/19 18:40,122.93,1STG-GA03124
8/30/19 18:35,122.68,1STG-GA03124
8/30/19 18:30,122.68,1STG-GA03124
8/30/19 18:25,122.55,1STG-GA03124
8/30/19 18:20,122.55,1STG-GA03124
8/30/19 18:15,122.55,1STG-GA03124
8/30/19 18:10,122.55,1STG-GA03124
8/30/19 18:05,122.1,1STG-GA03124
8/30/19 18:00,122.1,1STG-GA03124
8/30/19 17:55,122.3,1STG-GA03124
8/30/19 17:50,122.3,1STG-GA03124
8/30/19 17:45,122.55,1STG-GA03124
8/30/19 17:40,122.55,1STG-GA03124
8/30/19 17:35,122.47,1STG-GA03124
8/30/19 17:30,122.47,1STG-GA03124
8/30/19 17:25,122.52,1STG-GA03124
8/30/19 17:20,122.52,1STG-GA03124
8/30/19 17:15,122.52,1STG-GA03124
8/30/19 17:10,122.85,1STG-GA03124
8/30/19 17:05,122.85,1STG-GA03124
8/30/19 17:00,122.85,1STG-GA03124
8/30/19 16:55,122.53,1STG-GA03124
8/30/19 16:50,122.53,1STG-GA03124
8/30/19 16:45,122.68,1STG-GA03124
8/30/19 16:40,122.54,1STG-GA03124
8/30/19 16:35,122.54,1STG-GA03124
8/30/19 16:30,122.54,1STG-GA03124
8/30/19 16:25,122.6,1STG-GA03124
8/30/19 16:20,122.6,1STG-GA03124
8/30/19 16:15,122.6,1STG-GA03124
8/30/19 16:10,122.58,1STG-GA03124
8/30/19 16:05,122.58,1STG-GA03124
8/30/19 16:00,122.58,1STG-GA03124
8/30/19 15:55,122.84,1STG-GA03124
8/30/19 15:50,122.75,1STG-GA03124
8/30/19 15:45,122.75,1STG-GA03124
8/30/19 15:40,122.75,1STG-GA03124
8/30/19 15:35,122.85,1STG-GA03124
8/30/19 15:30,122.85,1STG-GA03124
8/30/19 15:25,122.85,1STG-GA03124
8/30/19 15:20,122.93,1STG-GA03124
8/30/19 15:15,122.8,1STG-GA03124
8/30/19 15:10,122.8,1STG-GA03124
8/30/19 15:05,122.7,1STG-GA03124
8/30/19 15:00,122.7,1STG-GA03124
8/30/19 14:55,122.7,1STG-GA03124
8/30/19 14:50,122.7,1STG-GA03124
8/30/19 14:45,122.78,1STG-GA03124
8/30/19 14:40,122.98,1STG-GA03124
8/30/19 14:35,122.98,1STG-GA03124
8/30/19 14:30,122.93,1STG-GA03124
8/30/19 14:25,122.92,1STG-GA03124
8/30/19 14:20,122.92,1STG-GA03124
8/30/19 14:15,122.92,1STG-GA03124
8/30/19 14:10,122.85,1STG-GA03124
8/30/19 14:05,122.85,1STG-GA03124
8/30/19 14:00,122.85,1STG-GA03124
8/30/19 13:55,122.8,1STG-GA03124
8/30/19 13:50,122.8,1STG-GA03124
8/30/19 13:45,122.9,1STG-GA03124
8/30/19 13:40,122.9,1STG-GA03124
8/30/19 13:35,123.05,1STG-GA03124
8/30/19 13:30,123.05,1STG-GA03124
8/30/19 13:25,123.05,1STG-GA03124
8/30/19 13:20,123.05,1STG-GA03124
8/30/19 13:15,123.17,1STG-GA03124
8/30/19 13:10,122.7,1STG-GA03124
8/30/19 13:05,122.18,1STG-GA03124
8/30/19 13:00,122.18,1STG-GA03124
8/30/19 12:55,122.18,1STG-GA03124
8/30/19 12:50,121.12,1STG-GA03124
8/30/19 12:45,121.12,1STG-GA03124
8/30/19 12:40,121.12,1STG-GA03124
8/30/19 12:35,121.12,1STG-GA03124
8/30/19 12:30,117.78,1STG-GA03124
8/30/19 12:25,117.78,1STG-GA03124
8/30/19 12:20,117.78,1STG-GA03124
8/30/19 12:15,117.78,1STG-GA03124
8/30/19 12:10,117.78,1STG-GA03124
8/30/19 12:05,117.78,1STG-GA03124
8/30/19 12:00,87.17,1STG-GA03124
8/30/19 11:55,87.17,1STG-GA03124
8/30/19 11:50,87.17,1STG-GA03124
8/30/19 11:45,86.923,1STG-GA03124
8/30/19 11:40,87.174,1STG-GA03124
8/30/19 11:35,87.174,1STG-GA03124
8/30/19 11:30,87.028,1STG-GA03124
8/30/19 11:25,87.05,1STG-GA03124
8/30/19 11:20,87.05,1STG-GA03124
8/30/19 11:15,87.05,1STG-GA03124
8/30/19 11:10,87.05,1STG-GA03124
8/30/19 11:05,86.932,1STG-GA03124
8/30/19 11:00,86.932,1STG-GA03124
8/30/19 10:55,86.932,1STG-GA03124
8/30/19 10:50,86.932,1STG-GA03124
8/30/19 10:45,86.938,1STG-GA03124
8/30/19 10:40,86.938,1STG-GA03124
8/30/19 10:35,86.938,1STG-GA03124
8/30/19 10:30,86.938,1STG-GA03124
8/30/19 10:25,86.893,1STG-GA03124
8/30/19 10:20,86.893,1STG-GA03124
8/30/19 10:15,87.014,1STG-GA03124
8/30/19 10:10,87.014,1STG-GA03124
8/30/19 10:05,87.014,1STG-GA03124
8/30/19 10:00,87.422,1STG-GA03124
8/30/19 9:55,87.422,1STG-GA03124
8/30/19 9:50,87.422,1STG-GA03124
8/30/19 9:45,87.507,1STG-GA03124
8/30/19 9:40,87.345,1STG-GA03124
8/30/19 9:35,87.345,1STG-GA03124
8/30/19 9:30,87.345,1STG-GA03124
8/30/19 9:25,87.57,1STG-GA03124
8/30/19 9:20,87.196,1STG-GA03124
8/30/19 9:15,87.196,1STG-GA03124
8/30/19 9:10,87.196,1STG-GA03124
8/30/19 9:05,87.196,1STG-GA03124
8/30/19 9:00,87.728,1STG-GA03124
8/30/19 8:55,87.874,1STG-GA03124
8/30/19 8:50,87.821,1STG-GA03124
8/30/19 8:45,87.821,1STG-GA03124
8/30/19 8:40,87.821,1STG-GA03124
8/30/19 8:35,87.827,1STG-GA03124
8/30/19 8:30,87.827,1STG-GA03124
8/30/19 8:25,87.827,1STG-GA03124
8/30/19 8:20,87.877,1STG-GA03124
8/30/19 8:15,87.877,1STG-GA03124
8/30/19 8:10,87.877,1STG-GA03124
8/30/19 8:05,87.331,1STG-GA03124
8/30/19 8:00,87.331,1STG-GA03124
8/30/19 7:55,87.331,1STG-GA03124
8/30/19 7:50,87.331,1STG-GA03124
8/30/19 7:45,87.395,1STG-GA03124
8/30/19 7:40,87.279,1STG-GA03124
8/30/19 7:35,87.279,1STG-GA03124
8/30/19 7:30,87.279,1STG-GA03124
8/30/19 7:25,87.279,1STG-GA03124
8/30/19 7:20,87.453,1STG-GA03124
8/30/19 7:15,87.453,1STG-GA03124
8/30/19 7:10,87.453,1STG-GA03124
8/30/19 7:05,87.744,1STG-GA03124
8/30/19 7:00,87.363,1STG-GA03124
8/30/19 6:55,87.363,1STG-GA03124
8/30/19 6:50,87.378,1STG-GA03124
8/30/19 6:45,87.378,1STG-GA03124
8/30/19 6:40,87.378,1STG-GA03124
8/30/19 6:35,87.655,1STG-GA03124
8/30/19 6:30,87.457,1STG-GA03124
8/30/19 6:25,87.457,1STG-GA03124
8/30/19 6:20,87.457,1STG-GA03124
8/30/19 6:15,87.542,1STG-GA03124
8/30/19 6:10,87.413,1STG-GA03124
8/30/19 6:05,87.413,1STG-GA03124
8/30/19 6:00,87.413,1STG-GA03124
8/30/19 5:55,87.756,1STG-GA03124
8/30/19 5:50,87.756,1STG-GA03124
8/30/19 5:45,87.756,1STG-GA03124
8/30/19 5:40,87.347,1STG-GA03124
8/30/19 5:35,87.347,1STG-GA03124
8/30/19 5:30,87.347,1STG-GA03124
8/30/19 5:25,87.347,1STG-GA03124
8/30/19 5:20,87.335,1STG-GA03124
8/30/19 5:15,87.335,1STG-GA03124
8/30/19 5:10,88.042,1STG-GA03124
8/30/19 5:05,87.264,1STG-GA03124
8/30/19 5:00,87.264,1STG-GA03124
8/30/19 4:55,87.264,1STG-GA03124
8/30/19 4:50,87.264,1STG-GA03124
8/30/19 4:45,87.792,1STG-GA03124
8/30/19 4:40,87.792,1STG-GA03124
8/30/19 4:35,87.459,1STG-GA03124
8/30/19 4:30,87.417,1STG-GA03124
8/30/19 4:25,87.417,1STG-GA03124
8/30/19 4:20,87.417,1STG-GA03124
8/30/19 4:15,87.291,1STG-GA03124
8/30/19 4:10,87.291,1STG-GA03124
8/30/19 4:05,87.31,1STG-GA03124
8/30/19 4:00,87.31,1STG-GA03124
8/30/19 3:55,87.4,1STG-GA03124
8/30/19 3:50,87.4,1STG-GA03124
8/30/19 3:45,87.4,1STG-GA03124
8/30/19 3:40,87.4,1STG-GA03124
8/30/19 3:35,87.766,1STG-GA03124
8/30/19 3:30,87.766,1STG-GA03124
8/30/19 3:25,87.254,1STG-GA03124
8/30/19 3:20,87.254,1STG-GA03124
8/30/19 3:15,87.254,1STG-GA03124
8/30/19 3:10,87.364,1STG-GA03124
8/30/19 3:05,87.364,1STG-GA03124
8/30/19 3:00,87.364,1STG-GA03124
8/30/19 2:55,87.364,1STG-GA03124
8/30/19 2:50,87.439,1STG-GA03124
8/30/19 2:45,87.475,1STG-GA03124
8/30/19 2:40,87.475,1STG-GA03124
8/30/19 2:35,87.523,1STG-GA03124
8/30/19 2:30,87.523,1STG-GA03124
8/30/19 2:25,87.523,1STG-GA03124
8/30/19 2:20,87.523,1STG-GA03124
8/30/19 2:15,87.443,1STG-GA03124
8/30/19 2:10,87.443,1STG-GA03124
8/30/19 2:05,87.616,1STG-GA03124
8/30/19 2:00,87.45,1STG-GA03124
8/30/19 1:55,87.44,1STG-GA03124
8/30/19 1:50,87.44,1STG-GA03124
8/30/19 1:45,87.44,1STG-GA03124
8/30/19 1:40,87.432,1STG-GA03124
8/30/19 1:35,87.432,1STG-GA03124
8/30/19 1:30,87.432,1STG-GA03124
8/30/19 1:25,87.432,1STG-GA03124
8/30/19 1:20,87.668,1STG-GA03124
8/30/19 1:15,87.436,1STG-GA03124
8/30/19 1:10,87.436,1STG-GA03124
8/30/19 1:05,87.436,1STG-GA03124
8/30/19 1:00,87.461,1STG-GA03124
8/30/19 0:55,87.461,1STG-GA03124
8/30/19 0:50,87.838,1STG-GA03124
8/30/19 0:45,87.838,1STG-GA03124
8/30/19 0:40,87.838,1STG-GA03124
8/30/19 0:35,87.838,1STG-GA03124
8/30/19 0:30,87.838,1STG-GA03124
8/30/19 0:25,88.143,1STG-GA03124
8/30/19 0:20,89.302,1STG-GA03124
8/30/19 0:15,89.302,1STG-GA03124
8/30/19 0:10,89.302,1STG-GA03124
8/30/19 0:05,109.7,1STG-GA03124
8/30/19 0:00,109.7,1STG-GA03124
8/29/19 23:55,109.7,1STG-GA03124
8/29/19 23:50,123.67,1STG-GA03124
8/29/19 23:45,123.67,1STG-GA03124
8/29/19 23:40,123.47,1STG-GA03124
8/29/19 23:35,123.47,1STG-GA03124
8/29/19 23:30,123.44,1STG-GA03124
8/29/19 23:25,123.44,1STG-GA03124
8/29/19 23:20,123.41,1STG-GA03124
8/29/19 23:15,123.41,1STG-GA03124
8/29/19 23:10,123.7,1STG-GA03124
8/29/19 23:05,123.7,1STG-GA03124
8/29/19 23:00,123.64,1STG-GA03124
8/29/19 22:55,123.64,1STG-GA03124
8/29/19 22:50,123.64,1STG-GA03124
8/29/19 22:45,123.55,1STG-GA03124
8/29/19 22:40,123.55,1STG-GA03124
8/29/19 22:35,123.43,1STG-GA03124
8/29/19 22:30,123.43,1STG-GA03124
8/29/19 22:25,123.43,1STG-GA03124
8/29/19 22:20,123.43,1STG-GA03124
8/29/19 22:15,123.35,1STG-GA03124
8/29/19 22:10,123.35,1STG-GA03124
8/29/19 22:05,123.58,1STG-GA03124
8/29/19 22:00,123.58,1STG-GA03124
8/29/19 21:55,123.4,1STG-GA03124
8/29/19 21:50,123.4,1STG-GA03124
8/29/19 21:45,123.4,1STG-GA03124
8/29/19 21:40,123.4,1STG-GA03124
8/29/19 21:35,123.42,1STG-GA03124
8/29/19 21:30,123.42,1STG-GA03124
